Identyfikator pracownika,Imię,Nazwisko,Data urodzenia,Numer telefonu,Identyfikator kontraktu,Uprawnienia do nadzoru,
1485,BARTOSZ,MAJEWSKI,8511259931, 148, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1486,LECH,WOŁOCH,67112516154, 148, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1487,PIOTR,ARABOWICZ,80111052185, 148, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1488,JAKUB,RUSNAK,6012684844, 148, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1489,MARTYNA,LEWICKI,891883997, 148, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1490,DAMIAN,CZECH,74112021740, 148, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1491,DOMINIKA,SZWAJCARSKI,65102573251, 149, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1492,ARTUR,GAL,704718696, 149, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1493,JAN,ŻMIJEWSKA,725857366, 149, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1494,DOMINIKA,SKIBA,606791578, 149, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1495,LAURA,JABŁOŃSKI,5532101141, 149, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1496,DOMINIK,KASZUB,841372674, 149, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1497,DAMIAN,AMSTERDAMSKI,70121561941, 149, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1498,MARTA,POLESKI,6241685251, 149, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1499,KATARZYNA,POLESZUK,638107201, 149, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1500,MARTYNA,KURLANDA,845212270, 149, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1501,PATRYCJA,HISZPAN,5842572306, 150, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1502,JACEK,SZKOT,5731828811, 150, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1503,GERARD,POLOK,6972423378, 150, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1504,KAMILA,CZECH,624906382, 150, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1505,AGATA,WŁOCH,87123041863, 150, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1506,AGATA,TATARSKI,59111189135, 150, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1507,MACIEJ,ARAB,5592452287, 150, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1508,JAKUB,PRUSAK,6691823186, 150, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1509,DANUTA,CHORWAT,7551999580, 150, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1510,MARTYNA,SZWEDZIAK,8781365680, 150, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1511,KRZYSZTOF,SŁOWAK,823151076, 151, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1512,KAMIL,SZEWCZYK,73112959917, 151, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1513,MATEUSZ,TOWAREK,8171081334, 151, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1514,DONALD,DOBRUCKI,727781417, 151, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1515,MICHAŁ,NIEMCZYK,739999120, 151, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1516,KRYSTYNA,HOFFMANN,692722966, 151, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1517,ŁUKASZ,ARABSKI,85103061254, 151, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1518,WALDEMAR,MAZURKIEWICZ,5562755874, 151, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1519,WOJCIECH,TATARCZUK,8522188089, 151, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1520,LEONARD,MAZUREK,6863069286, 151, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1521,MAREK,CHRUSZCZEWSKI,7711574856, 152, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1522,AGATA,ŻMUDZIN,8333123997, 152, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1523,TYMON,DUDA,8482194140, 152, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1524,JAN,SŁOWAKIEWICZ,8091490017, 152, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1525,JOLANTA,PIĄTEK,6493097418, 152, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1526,BARTOSZ,KOZŁOWSKI,8510630644, 152, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1527,AGATA,PASTERNAK,588810885, 152, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1528,JANUSZ,MADZIARA,6671654986, 152, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1529,DAMIAN,ROMUN,8311426661, 152, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1530,JADWIGA,AUSTRIJAK,70112072758, 152, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1531,KAROLINA,FOGIEL,815669920, 153, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1532,ALICJA,POLOCZEK,6473001615, 153, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1533,DANUTA,TUREK,7910654813, 153, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1534,JAROSŁAW,WESOŁOWSKI,8431302228, 153, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1535,PIOTR,KĘDZIERSKI,6112451591, 153, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1536,KATARZYNA,GAL,6941904429, 153, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1537,ALICJA,KOMAN,80102705649, 153, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1538,MACIEJ,KOZŁOWSKI,6542748208, 153, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1539,ROZALIA,POLESKI,81123046094, 153, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1540,DOMINIKA,PRUSKI,7482896138, 153, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1541,ANETA,SZWEDZKI,6941439016, 154, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1542,TYMON,MALINOWSKI,7672819560, 154, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1543,DOMINIK,GAL,6521777720, 154, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1544,PIOTR,NIEMIEC,864155600, 154, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1545,IZABELA,PRUSKI,645310211, 154, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1546,TYMON,KRAJEWSKI,7212435813, 154, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1547,OLIWIER,POLACZEK,8711010997, 154, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1548,OLIWIA,GÓRSKI,7531852018, 154, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1549,PRZEMYSLAW,HOFFMANN,57111439112, 154, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1550,MATEUSZ,NIEDZIELSKI,6951494587, 154, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1551,ALICJA,SWAT,749644626, 155, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1552,ANETA,DUŃCZYK,8122494542, 155, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1553,MICHAŁ,KURUC,8581564563, 155, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1554,LECH,TATARCZAK,7932128893, 155, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1555,KAMILA,POLESZAK,61102217831, 155, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1556,ŁUCJA,TATARZYN,764890306, 155, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1557,WOJCIECH,SŁOWACKI,7471410011, 155, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1558,KRYSTYNA,ARABOWICZ,69112157994, 155, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1559,KRYSTYNA,TATARSKI,874402224, 155, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1560,WALDEMAR,PODOLAK,6842860747, 155, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1561,PIOTR,KOMAN,57112169767, 156, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1562,LAURA,DUDEK,7983114342, 156, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1563,GERARD,KURLANDCZYK,891624914, 156, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1564,TOMASZ,NIEWIADOMSKI,682295680, 156, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1565,KAROL,BRANDENBURGER,60102589019, 156, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1566,DAWID,ŻYDEK,832496875, 156, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1567,JOLANTA,ARABOWICZ,608192864, 156, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1568,ŁUCJA,CZECH,615628998, 156, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1569,DOMINIK,POLOK,6492954180, 156, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1570,PIOTR,PRUS,8572685188, 156, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1571,DAMIAN,KOZŁOWSKI,704309542, 157, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1572,DAWID,MAZURKIEWICZ,6312347133, 157, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1573,PATRYK,RUSAK,64102656900, 157, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1574,MARIUSZ,TATARSKI,6331708929, 157, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1575,KRZYSZTOF,CZESKI,9011126741, 157, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1576,MARTA,MADZIAR,6853118575, 157, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1577,BARTOSZ,POTOK,7391713419, 157, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1578,GERARD,PRUSAK,7981922007, 157, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1579,MICHAŁ,PASTERNAK,5542206318, 157, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1580,JANUSZ,UKRAINIEC,7322132956, 157, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1581,TYTUS,ARABSKI,7351291027, 158, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1582,PIOTR,WIECZOREK,79121422281, 158, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1583,KRZYSZTOF,WOŹNIAK,819303030, 158, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1584,OLIWIER,KRAJEWSKI,8663049687, 158, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1585,BARBARA,SZWEDEK,86111715839, 158, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1586,JOLANTA,TATAREK,5911666022, 158, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1587,ALICJA,HISZPAN,8093039759, 158, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1588,MATEUSZ,SKIBA,651265682, 158, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1589,PRZEMYSLAW,GALOCH,55112988879, 158, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1590,BRAJAN,DUDEK,60111655512, 158, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1591,DOMINIKA,KACZMAREK,804112851, 159, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1592,TOMASZ,SZLĄZAK,8091081065, 159, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1593,TYMON,SŁOWIAK,6172200434, 159, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1594,TOMASZ,FOGIEL,57102948016, 159, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1595,JACEK,ŻMUDA,846255140, 159, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1596,WALDEMAR,RUS,7942174364, 159, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1597,ŁUCJA,PASTERNAK,56102782139, 159, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1598,PATRYK,MOSKAL,55102726133, 159, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1599,WOJCIECH,SŁOWIAK,60101927740, 159, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1600,BARBARA,DOBRUCKI,7532443897, 159, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1601,KAROL,KURLANDT,5551284691, 160, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1602,JAN,SŁOWAKIEWICZ,5531885834, 160, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1603,JAKUB,OLĘDER,8992815883, 160, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1604,GERARD,TATARCZYK,574379379, 160, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1605,ALEKSANDER,KOMAN,5531642724, 160, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1606,DANUTA,KWIECIEŃ,782354195, 160, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1607,LECH,MAZUREK,6362098160, 160, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1608,TYTUS,SŁOWIAK,78122574172, 160, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1609,DOMINIKA,ARAB,697810342, 160, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1610,PIOTR,KWIATKOWSKI,7811299857, 160, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1611,ALEKANDRA,SLEZAK,70121741826, 161, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1612,JAN,KŁOSSOWSKI,7611937067, 161, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1613,PRZEMYSLAW,KURLANDT,8142695514, 161, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1614,WALDEMAR,CHORWAT,768163147, 161, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1615,TYMON,ŚLĄZAK,56112670410, 161, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1616,MACIEJ,TATARCZAK,8411290392, 161, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1617,DONALD,BÖHM,85111533157, 161, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1618,JAROSŁAW,WYRZYKOWSKI,8411340687, 161, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1619,ALEKSANDER,WIŚNIEWSKI,6711851664, 161, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1620,BRAJAN,ŻMIJEWSKI,8351502034, 161, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1621,KAROLINA,POLESZCZUK,5881320830, 162, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1622,MARTA,FOGIEL,6521659299, 162, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1623,MAREK,NOWAK,6071361064, 162, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1624,DAMIAN,KACZMAREK,672888748, 162, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1625,LEONARD,CIEŚLAK,75111681749, 162, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1626,BARTOSZ,SZWEDZKI,6431040571, 162, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1627,BARTOSZ,ŻMIJEWSKI,8322158832, 162, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1628,OLIWIER,KURLANDZKI,7152171699, 162, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1629,JANUSZ,CHRUSZCZEWSKI,688896656, 162, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1630,JADWIGA,SIERADZKI,7852027127, 162, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1631,JANUSZ,CZECH,6261959732, 163, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1632,DOROTA,MILLER,76111951295, 163, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1633,PATRYK,ŻYDEK,70112909199, 163, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1634,KRZYSZTOF,ŻUREK,8751495095, 163, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1635,BRAJAN,ŻYDOWICZ,664815028, 163, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1636,JAKUB,WĘGIER,896867528, 163, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1637,ROZALIA,KOMAN,6552106024, 163, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1638,ALEKSANDER,ŻYDZIAK,7471756680, 163, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1639,WOJCIECH,POLACZEK,8441624379, 163, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1640,BARTOSZ,NIEMIEC,8783189549, 163, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1641,MARTYNA,KURLANDZKI,8311379461, 164, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1642,WERONIKA,KURLANDT,655947307, 164, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1643,PAWEL,DOBRUCKI,64111279894, 164, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1644,ALICJA,TURECKI,776879877, 164, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1645,TOMASZ,KURLANDZKI,8991579332, 164, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1646,BARBARA,KŁOSSOWSKI,66102188198, 164, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1647,ALEKANDRA,NIEDZIELSKI,7112466602, 164, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1648,MICHAŁ,AUSTRIJAK,7111732472, 164, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1649,IZABELA,NIEWIADOMSKI,65111084195, 164, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1650,PIOTR,NIEMIEC,87122492260, 164, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1651,MARTA,KĘDZIERSKI,8072496877, 165, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1652,KAROL,SOCHA,5782792433, 165, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1653,DANUTA,ARABSKI,6862847381, 165, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1654,JACEK,PODOLSKI,6311909250, 165, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1655,KRYSTYNA,POTOK,8891210836, 165, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1656,PIOTR,POLACZEK,8411624519, 165, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1657,OLIWIER,PRUSEK,7662322397, 165, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1658,JACEK,RUSAK,5942937009, 165, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1659,WOJCIECH,SZKOT,723418336, 165, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1660,DOMINIK,SZWEDOWSKI,8642963613, 165, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1661,MAREK,POLESZUK,77101544361, 166, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1662,KAROL,MAJEWSKI,7310599442, 166, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1663,BRAJAN,SŁOWACKI,608336181, 166, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1664,LAURA,PRUSIK,561547107, 166, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1665,BARBARA,HISZPAN,59123186645, 166, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1666,WOJCIECH,TATARCZYK,9061563390, 166, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1667,JADWIGA,MALINOWSKI,6161111567, 166, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1668,DOMINIKA,WIŚNIEWSKI,7692359559, 166, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1669,ALEKSANDER,CHORWAT,6912286711, 166, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1670,JADWIGA,ŻYDOWSKI,55111298946, 166, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1671,LAURA,RUSEK,66112272171, 167, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1672,KAMIL,LITWINOWICZ,68121444850, 167, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1673,DOMINIK,GÓRSKI,8093062113, 167, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1674,JACEK,TATARZYN,6642928643, 167, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1675,JAKUB,SAS,7142802003, 167, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1676,JOLANTA,POTOK,6182493144, 167, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1677,LAURA,SŁOWAKIEWICZ,67103133608, 167, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1678,DOMINIKA,POTOK,7382871154, 167, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1679,WERONIKA,SZWED,8342252510, 167, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1680,LECH,ŻMUDZIN,859511308, 167, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1681,DONALD,SŁOWACKI,8081452021, 168, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1682,TYMON,CYGAN,5741617905, 168, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1683,ŁUKASZ,KRAJEWSKI,8732662170, 168, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1684,ŁUCJA,SZWEDZIAK,82102648559, 168, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1685,LEONARD,ŻOCHOWSKI,6372647934, 168, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1686,OLIWIER,ŻMUDZIN,81122659777, 168, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1687,DAMIAN,CIEŚLAK,7412978663, 168, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1688,TYTUS,SIKORA,6513053111, 168, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1689,PAWEL,MADZIARA,7692603249, 168, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1690,DAMIAN,KURLANDCZYK,80102796792, 168, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1691,ALEKSANDER,ŻYDOWICZ,6161396879, 169, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1692,MARIUSZ,WYRZYKOWSKI,831469702, 169, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1693,BARBARA,ŻYDEK,85111691280, 169, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1694,IZABELA,SZEWCZYK,7271367553, 169, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1695,PRZEMYSLAW,SUDOŁ,805551847, 169, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1696,MICHAŁ,CZESKI,8611685269, 169, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1697,KAMILA,SŁOWIAK,5511641368, 169, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1698,DOMINIK,WOŁOSZEK,815466440, 169, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1699,JANUSZ,LITWIN,5582676353, 169, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1700,BARBARA,POLESZUK,74101781690, 169, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1701,ŁUKASZ,WOŁOSZEK,8411633649, 170, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1702,ALEKSANDER,KURLANDZKI,611222619, 170, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1703,ŁUKASZ,MORAW,83103012365, 170, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1704,DAMIAN,LANGE,78101368874, 170, UPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
1705,BRAJAN,POLESZAK,626575080, 170, NIEUPRAWNIONY,01.01.2010 00:00:00,31.12.2999 00:00:00
