Identyfikator pracownika,Imię,Nazwisko,Data urodzenia,Telefon,Identyfikator kontraktu,Uprawnienia do nadzoru,Pesel
10677,MARIUSZ,KIJOWSKI,29.09.1959 00:00:00,407611835,943352452,NIEUPRAWNIONY,67071386803
10678,KRYSTYNA,ŻMUDZIN,08.04.1964 00:00:00,184758721,252705809,UPRAWNIONY,90091997224
10679,ALEKSANDER,WOŁOCH,22.02.1986 00:00:00,464292734,1879661569,NIEUPRAWNIONY,63052561906
10680,PAWEL,SZKOT,13.05.1985 00:00:00,100763568,542709323,UPRAWNIONY,59040849723
10681,DAMIAN,PRUSAK,23.07.1970 00:00:00,954030958,1057940394,UPRAWNIONY,81120303189
10682,KAROL,KURLANDCZYK,01.09.1974 00:00:00,732247917,778577780,UPRAWNIONY,87070938134
10683,PAWEL,ARABOWICZ,04.12.1985 00:00:00,745013310,1704505998,UPRAWNIONY,87082269995
10684,OLIWIER,SAS,14.06.1957 00:00:00,988542622,66922157,UPRAWNIONY,86052347538
10685,PRZEMYSLAW,MICIUN,27.08.1982 00:00:00,321745905,180041345,UPRAWNIONY,67012155342
10686,DAMIAN,HOLENDERSKI,09.05.1976 00:00:00,542799134,725355198,NIEUPRAWNIONY,60092202245
10687,MARIUSZ,HISZPAN,25.03.1988 00:00:00,467269963,741264087,UPRAWNIONY,76032295566
10688,KATARZYNA,PODOLAK,15.01.1970 00:00:00,849929764,1104511106,NIEUPRAWNIONY,81070538512
10689,BARTOSZ,UKRAIŃSKI,16.07.1970 00:00:00,871284466,155766394,NIEUPRAWNIONY,75051822950
10690,TOMASZ,TATARA,14.01.1981 00:00:00,657524711,2123554361,UPRAWNIONY,69072377453
10691,MARTYNA,CICHOCKI,02.01.1983 00:00:00,519882338,1338774091,NIEUPRAWNIONY,82091449804
10692,BARTOSZ,KURLANDCZYK,21.06.1960 00:00:00,182822164,1643377361,NIEUPRAWNIONY,74101968154
10693,TYTUS,ZIĘBA,06.01.1975 00:00:00,133053264,459847904,NIEUPRAWNIONY,67090500573
10694,PATRYK,GÓRAL,17.11.1958 00:00:00,529484270,1144231614,UPRAWNIONY,66080884629
10695,KAROLINA,WIŚNIEWSKI,12.04.1976 00:00:00,700477449,2012414300,NIEUPRAWNIONY,79031927124
10696,BRAJAN,PODOLAK,04.12.1961 00:00:00,487036219,78161558,NIEUPRAWNIONY,63092922610
10697,WALDEMAR,WRÓBEL,24.03.1966 00:00:00,291895848,1639043930,NIEUPRAWNIONY,81061250801
10698,WERONIKA,WĘGIER,02.08.1955 00:00:00,765162170,1725602908,NIEUPRAWNIONY,63011568728
10699,DAMIAN,RYBICKI,19.07.1969 00:00:00,895249586,165205967,UPRAWNIONY,87022702034
10700,JANUSZ,CYGAN,22.09.1968 00:00:00,567269840,1478270350,NIEUPRAWNIONY,74092737376
10701,JANUSZ,BRANDENBURG,03.03.1978 00:00:00,147033461,1903126709,UPRAWNIONY,71051170057
10702,JACEK,HOLENDERSKI,08.11.1960 00:00:00,210042335,1700411668,UPRAWNIONY,81052240979
10703,WALDEMAR,TOPOLSKI,04.02.1972 00:00:00,650834096,294476106,UPRAWNIONY,78060925047
10704,PATRYCJA,SZWAJCER,11.08.1958 00:00:00,384406855,338551007,NIEUPRAWNIONY,55111043369
10705,KAMIL,MAŁECKI,16.04.1960 00:00:00,534892609,399076916,NIEUPRAWNIONY,57091410430
10706,KAMIL,ŻMUDZIN,14.07.1957 00:00:00,875359444,1145713392,UPRAWNIONY,71060564173
10707,KAROL,UKRAINIEC,30.05.1963 00:00:00,367600606,1108872577,UPRAWNIONY,84092884461
10708,JAN,TATAREK,24.09.1966 00:00:00,137312934,4127117,NIEUPRAWNIONY,82111952754
10709,MACIEJ,PODOLAN,26.03.1960 00:00:00,570367489,625299387,UPRAWNIONY,82082868070
10710,DOMINIKA,ARABIK,26.04.1968 00:00:00,823799385,1524095367,UPRAWNIONY,90111593347
10711,KRYSTYNA,KWIECIEŃ,07.02.1965 00:00:00,249760450,675313962,NIEUPRAWNIONY,90080454243
10712,MARIUSZ,SZWEDZKI,25.05.1981 00:00:00,134442400,157654132,NIEUPRAWNIONY,84122983517
10713,KRZYSZTOF,RUSNAK,17.06.1955 00:00:00,119716861,1361531099,UPRAWNIONY,59101328829
10714,KAMIL,SAS,06.06.1964 00:00:00,797848402,112254211,NIEUPRAWNIONY,85051747924
10715,DONALD,NIEWIADOMSKI,20.06.1956 00:00:00,610421465,1794069066,NIEUPRAWNIONY,80040641895
10716,KAMIL,KŁOSSOWSKI,08.08.1966 00:00:00,638058661,1300502627,NIEUPRAWNIONY,61053198541
10717,DONALD,SŁOWAK,10.07.1962 00:00:00,493862796,708072478,NIEUPRAWNIONY,85052947591
10718,PAWEL,KASZUB,06.03.1978 00:00:00,972200313,1831925045,UPRAWNIONY,85032280285
10719,MACIEJ,GOROL,12.04.1965 00:00:00,902762710,41869873,UPRAWNIONY,58112873319
10720,MAREK,SZULC,09.03.1982 00:00:00,443624954,1173755710,UPRAWNIONY,73033164970
10721,LAURA,GAWROŃSKI,15.05.1986 00:00:00,482416211,2056812045,UPRAWNIONY,82101092368
10722,KAMIL,LITWIN,15.09.1965 00:00:00,310375116,2141450388,UPRAWNIONY,86120267378
10723,KAMIL,KASZUB,13.01.1961 00:00:00,394492896,69675844,UPRAWNIONY,65102283980
10724,LAURA,SAS,31.08.1962 00:00:00,616027570,1536918961,NIEUPRAWNIONY,85102406850
10725,KAROLINA,KRAWCZYK,31.03.1970 00:00:00,130565644,776157634,UPRAWNIONY,75011535504
10726,JAN,WĘGRZYN,02.07.1967 00:00:00,314480729,957021867,UPRAWNIONY,68060780748
10727,DAMIAN,LEWICKI,06.12.1990 00:00:00,142907760,1548456710,NIEUPRAWNIONY,70012977589
10728,DONALD,KURLANDA,22.01.1989 00:00:00,147742071,52618543,NIEUPRAWNIONY,83021078492
10729,JAN,SŁOWIAK,03.05.1967 00:00:00,640689936,2062145801,NIEUPRAWNIONY,74062877610
10730,JAKUB,GÓRAL,24.01.1976 00:00:00,540366854,1445055914,UPRAWNIONY,70110932747
10731,JANUSZ,ŚLONZAK,26.03.1961 00:00:00,274978559,2122172906,UPRAWNIONY,57080247760
10732,PAWEL,SZWEDA,09.04.1971 00:00:00,907812749,1409657078,NIEUPRAWNIONY,66042910321
10733,ŁUKASZ,MAŁECKI,09.08.1983 00:00:00,142051654,350609080,UPRAWNIONY,82022441548
10734,KRYSTYNA,MACEDOŃSKI,28.03.1983 00:00:00,703404116,2071252643,UPRAWNIONY,71111034324
10735,LAURA,SASS,16.08.1978 00:00:00,228246559,266875483,UPRAWNIONY,64041172053
10736,MAREK,MICIUN,21.10.1959 00:00:00,592073991,1435770371,NIEUPRAWNIONY,73071881529
10737,ŁUCJA,LANGE,06.03.1965 00:00:00,359939938,1778338401,NIEUPRAWNIONY,61012024030
10738,OLIWIA,GALICKI,16.01.1966 00:00:00,514467201,1228272908,UPRAWNIONY,82032458008
10739,AGATA,POMORSKI,09.08.1967 00:00:00,680342667,623228299,NIEUPRAWNIONY,80041051214
10740,PIOTR,WOŹNIAK,23.07.1970 00:00:00,921336099,1292500251,NIEUPRAWNIONY,79080123310
10741,BRAJAN,GÓRSKI,16.11.1962 00:00:00,508607533,1955345827,NIEUPRAWNIONY,57072633266
10742,KATARZYNA,NOWAK,03.03.1971 00:00:00,548794572,1281786385,NIEUPRAWNIONY,74092791995
10743,JOLANTA,NIEWIADOMSKI,17.06.1966 00:00:00,242377810,2098580934,UPRAWNIONY,78020547375
10744,TYTUS,RUSAK,23.05.1964 00:00:00,801208048,1151787217,UPRAWNIONY,80101589721
10745,PIOTR,HISZPAN,06.03.1967 00:00:00,831611386,1959548737,NIEUPRAWNIONY,65120571188
10746,MICHAŁ,NORWECKI,22.09.1972 00:00:00,914634321,1223585479,UPRAWNIONY,55011967473
10747,MARIUSZ,ARABOWICZ,10.12.1963 00:00:00,936175310,761611782,NIEUPRAWNIONY,75101556947
10748,MAREK,SZWAJCAR,11.02.1968 00:00:00,200081481,911627613,NIEUPRAWNIONY,89071697552
10749,ROZALIA,RUMUN,26.04.1986 00:00:00,893188203,1813069725,UPRAWNIONY,65021264038
10750,DANUTA,PRUS,17.09.1990 00:00:00,564336051,2073339711,NIEUPRAWNIONY,83111620846
10751,PAWEL,TATARCZYK,17.09.1973 00:00:00,538400291,758494991,UPRAWNIONY,82111360065
10752,PATRYK,TATARZYN,31.12.1961 00:00:00,869210869,1303555402,NIEUPRAWNIONY,72100517026
10753,KATARZYNA,MORAW,07.01.1968 00:00:00,731738547,663260042,UPRAWNIONY,81090603469
10754,BRAJAN,KRUPA,21.03.1956 00:00:00,849010615,2061259465,NIEUPRAWNIONY,56120958951
10755,OLIWIER,CIEŚLAK,19.06.1987 00:00:00,807480324,2142217742,NIEUPRAWNIONY,61021006594
10756,GERARD,POLESKI,28.11.1956 00:00:00,903422194,1982400174,UPRAWNIONY,83091787192
10757,KRZYSZTOF,KRAWCZYK,15.02.1976 00:00:00,866629134,620831231,UPRAWNIONY,59090156617
10758,DOMINIKA,WOŁOCH,07.12.1958 00:00:00,786096179,1455897451,UPRAWNIONY,67070118145
10759,DOROTA,SŁOWACKI,27.04.1966 00:00:00,730307241,710410724,UPRAWNIONY,83100928672
10760,JANUSZ,RUSNAK,14.04.1965 00:00:00,232516249,843986471,NIEUPRAWNIONY,87080456134
10761,ŁUCJA,POLESZUK,24.08.1955 00:00:00,404276240,868352989,NIEUPRAWNIONY,83010772746
10762,TYMON,PRUSAK,13.08.1980 00:00:00,965649105,264735331,UPRAWNIONY,83060294969
10763,WOJCIECH,SZWAJCER,20.03.1983 00:00:00,670841165,1584817738,UPRAWNIONY,80071002163
10764,DOMINIKA,SZKOT,05.10.1956 00:00:00,203745453,500029003,NIEUPRAWNIONY,76072569614
10765,GERARD,SŁOWAKIEWICZ,26.02.1961 00:00:00,715869563,1749097443,UPRAWNIONY,81080242448
10766,WALDEMAR,BÖHM,27.06.1984 00:00:00,821810116,247546281,UPRAWNIONY,81112962646
10767,DONALD,POLESIAK,18.06.1976 00:00:00,718594943,1369692604,NIEUPRAWNIONY,58070705616
10768,KAROLINA,TOWAREK,11.03.1963 00:00:00,449757579,2001886254,UPRAWNIONY,72042098809
10769,IZABELA,WOŁOSZEK,05.03.1972 00:00:00,924323706,2023544290,UPRAWNIONY,63070101455
10770,DOMINIKA,MALINOWSKI,14.03.1971 00:00:00,140384584,266096274,NIEUPRAWNIONY,87062241920
10771,JANUSZ,ŁOTYSZ,25.04.1968 00:00:00,789540115,1183863075,NIEUPRAWNIONY,82021454171
10772,BENEDYKT,ŻOCHOWSKI,14.12.1988 00:00:00,520362027,342591868,NIEUPRAWNIONY,84011084900
10773,KAROL,BIAŁORUSKI,04.06.1957 00:00:00,211431806,205297738,NIEUPRAWNIONY,59050188369
10774,ROZALIA,ŚLĄZAK,16.10.1975 00:00:00,518647838,1443546577,NIEUPRAWNIONY,67070669766
10775,DAMIAN,ŻMIJEWSKA,31.01.1989 00:00:00,777472317,2044513809,NIEUPRAWNIONY,64022324795
10776,AGATA,RUSNAK,13.06.1968 00:00:00,515496260,293859586,UPRAWNIONY,76021734089
10777,ANETA,MAJEWSKI,19.04.1988 00:00:00,849812748,581165719,NIEUPRAWNIONY,90062829306
10778,LECH,TATAR,28.01.1963 00:00:00,454356482,1780789825,UPRAWNIONY,62080914424
10779,KAMILA,NIEDZIELSKI,02.02.1990 00:00:00,958372450,1314968356,UPRAWNIONY,58031941621
10780,LECH,KOWALSKI,22.12.1965 00:00:00,314582649,1604907212,UPRAWNIONY,67080792627
10781,KAROL,SZWAB,18.10.1956 00:00:00,897840579,25456600,NIEUPRAWNIONY,89072033115
10782,BRAJAN,KURLANDA,14.07.1983 00:00:00,852416660,969906001,UPRAWNIONY,89052391943
10783,TYTUS,TATARA,07.01.1971 00:00:00,743135289,1277659237,UPRAWNIONY,55101697011
10784,DOMINIK,NIEMCZYK,16.02.1984 00:00:00,622719938,606765225,NIEUPRAWNIONY,67022008860
10785,DAMIAN,KŁOSSOWSKI,27.02.1973 00:00:00,854671509,1730807899,NIEUPRAWNIONY,55102838981
10786,MATEUSZ,CZARNECKI,07.03.1964 00:00:00,703466927,325967896,NIEUPRAWNIONY,59120504447
10787,KAMIL,WESOŁOWSKI,06.01.1957 00:00:00,627047656,929233766,UPRAWNIONY,85011197289
10788,JAKUB,CZESKI,19.04.1974 00:00:00,931600110,1017737496,UPRAWNIONY,80123098530
10789,ROZALIA,ŻYDZIAK,02.03.1969 00:00:00,747074835,118929946,UPRAWNIONY,69071723531
10790,DAWID,KRAJEWSKI,11.05.1960 00:00:00,362876416,1324082392,NIEUPRAWNIONY,58112288613
10791,KATARZYNA,CICHOCKI,17.01.1974 00:00:00,212042776,1166448202,UPRAWNIONY,73060691429
10792,ŁUKASZ,MAZUR,07.03.1986 00:00:00,614012695,1784975789,NIEUPRAWNIONY,87040538265
10793,AGATA,GOROL,02.07.1961 00:00:00,671364951,2141561855,UPRAWNIONY,76030132757
10794,TOMASZ,LAMPARSKA,01.06.1972 00:00:00,847339921,772587267,NIEUPRAWNIONY,72050847004
10795,DOMINIKA,HOLLAND,01.02.1959 00:00:00,150063284,1709154297,UPRAWNIONY,65081645017
10796,JAKUB,ROSJAN,08.11.1955 00:00:00,730872320,1177613108,NIEUPRAWNIONY,60011403630
10797,DONALD,DUŃCZYK,05.07.1960 00:00:00,327978754,2003308614,NIEUPRAWNIONY,72060381979
10798,ALEKSANDER,PRUSIK,03.03.1968 00:00:00,198809253,711187885,UPRAWNIONY,55101050706
10799,DOROTA,ARABIK,13.12.1967 00:00:00,336309438,890559161,NIEUPRAWNIONY,70102859057
10800,BRAJAN,SZWARC,01.04.1984 00:00:00,731198840,1540259466,NIEUPRAWNIONY,57032775392
10801,BARTOSZ,MACEDOŃSKI,13.08.1986 00:00:00,269389416,112627845,NIEUPRAWNIONY,84051722729
10802,LAURA,KAŁUŻA,25.08.1978 00:00:00,546150432,735998767,UPRAWNIONY,71010762496
10803,MICHAŁ,SIKORA,16.05.1989 00:00:00,130910340,1526162032,NIEUPRAWNIONY,89112394909
10804,KAROLINA,SZWED,02.09.1975 00:00:00,410380906,2011845534,UPRAWNIONY,70060217380
10805,ALEKSANDER,PODOLAN,16.04.1989 00:00:00,372441645,1625908123,UPRAWNIONY,58110676565
10806,JAN,HOFFMANN,25.11.1980 00:00:00,747209477,1170285383,NIEUPRAWNIONY,80040588066
10807,KAROLINA,ŻYDOWSKI,21.01.1968 00:00:00,896018592,1196091727,UPRAWNIONY,57050892019
10808,JAN,WOŹNIAK,13.11.1966 00:00:00,590166276,1281706409,UPRAWNIONY,90122606289
10809,ALICJA,POLESZAK,14.07.1974 00:00:00,279362714,1397180357,UPRAWNIONY,80051179636
10810,TYTUS,SZEWCZYK,13.02.1955 00:00:00,260763507,454750462,NIEUPRAWNIONY,58111250974
10811,DOROTA,CZECH,25.06.1963 00:00:00,965004220,393824107,NIEUPRAWNIONY,67011927762
10812,MICHAŁ,TATAR,22.02.1988 00:00:00,411396428,396910611,NIEUPRAWNIONY,74021140724
10813,ROZALIA,WYSOCKI,15.10.1971 00:00:00,479491999,1551921074,UPRAWNIONY,57111502214
10814,ŁUCJA,MACEDOŃSKI,24.04.1980 00:00:00,878544715,415251755,NIEUPRAWNIONY,74071917185
10815,ANETA,PRZYBYSZ,15.12.1958 00:00:00,610114277,431191934,NIEUPRAWNIONY,63091943796
10816,MAREK,UKRAIŃSKI,24.11.1973 00:00:00,121252805,1730497631,UPRAWNIONY,90041639240
10817,WOJCIECH,NIEDZIELSKI,12.02.1956 00:00:00,476041165,533507147,UPRAWNIONY,58041032666
10818,LEONARD,WIŚNIEWSKI,24.06.1973 00:00:00,914981213,1897473453,NIEUPRAWNIONY,69061123229
10819,ALICJA,HOLLAND,15.07.1956 00:00:00,722673351,971913194,UPRAWNIONY,84083022397
10820,JACEK,POLOCZEK,09.10.1963 00:00:00,907486114,320707895,NIEUPRAWNIONY,70020819590
10821,DOMINIKA,POLAKOWSKI,20.02.1967 00:00:00,917378699,803757644,NIEUPRAWNIONY,74122655919
10822,DOMINIKA,WŁOCH,17.11.1960 00:00:00,403170473,184869367,NIEUPRAWNIONY,81011867678
10823,PIOTR,GÓRSKI,04.11.1986 00:00:00,257531358,2083122671,NIEUPRAWNIONY,69091791828
10824,KAMIL,UKRAIŃSKI,13.08.1989 00:00:00,205564918,1137095272,UPRAWNIONY,72022800222
10825,KRZYSZTOF,SZLĄZAK,09.05.1988 00:00:00,289043526,1956688214,NIEUPRAWNIONY,55022566297
10826,MAREK,SOCHA,27.09.1958 00:00:00,817668363,601997755,UPRAWNIONY,83061377832
10827,ALEKANDRA,MAZUR,31.12.1977 00:00:00,837100712,693035402,NIEUPRAWNIONY,71051851491
10828,MARTYNA,WĘGRZYNOWICZ,21.03.1967 00:00:00,489660323,723164451,UPRAWNIONY,61111965612
10829,WALDEMAR,NIEDZIELSKI,05.09.1985 00:00:00,630932080,638479142,NIEUPRAWNIONY,55120557691
10830,DAWID,MACEDOŃSKI,20.10.1980 00:00:00,735015060,895208398,UPRAWNIONY,84110593264
10831,ŁUKASZ,ŻYDOWSKI,05.12.1958 00:00:00,748856971,1198164291,UPRAWNIONY,86010776258
10832,BARTOSZ,WŁOCH,14.01.1982 00:00:00,639301158,1362984589,UPRAWNIONY,67010843891
10833,JADWIGA,OLENDER,17.04.1989 00:00:00,517420589,2086599875,NIEUPRAWNIONY,90112688612
10834,ŁUKASZ,WOŹNIAK,15.03.1955 00:00:00,682001353,837834514,NIEUPRAWNIONY,73112035533
10835,DAMIAN,RUSEK,19.09.1980 00:00:00,401117962,1215353511,NIEUPRAWNIONY,79032876921
10836,MACIEJ,TATARCZUK,15.11.1957 00:00:00,234120856,760542116,UPRAWNIONY,56032909586
10837,KAROL,DĄBROWSKI,18.06.1975 00:00:00,853536389,783878369,NIEUPRAWNIONY,74052439446
10838,MARIUSZ,SZWAJCAR,02.05.1985 00:00:00,398344012,203365431,NIEUPRAWNIONY,71011521483
10839,KAROL,GREC,23.03.1971 00:00:00,373237806,1543442678,UPRAWNIONY,58112742319
10840,TYMON,ŻMUDA,12.05.1969 00:00:00,493884630,1339740679,NIEUPRAWNIONY,62011016928
10841,MAREK,WĘGIER,28.01.1984 00:00:00,215056831,1824260407,UPRAWNIONY,58022776471
10842,OLIWIER,WĘGRZYNOWICZ,27.01.1970 00:00:00,381603177,1131897043,NIEUPRAWNIONY,82053038654
10843,KAROLINA,MADZIARA,05.09.1981 00:00:00,657806224,547461788,NIEUPRAWNIONY,80091516001
10844,PAWEL,KURLAND,10.09.1968 00:00:00,140155839,238203958,NIEUPRAWNIONY,69071540057
10845,MICHAŁ,WIECZOREK,28.12.1956 00:00:00,977993206,631238233,NIEUPRAWNIONY,58021721056
10846,MATEUSZ,SIKORA,11.07.1984 00:00:00,834967313,1278712274,NIEUPRAWNIONY,81070674092
10847,JAROSŁAW,CICHOCKI,24.04.1956 00:00:00,500857781,2003135393,NIEUPRAWNIONY,89080966127
10848,ANETA,HOLLAND,09.07.1960 00:00:00,699213233,417422333,NIEUPRAWNIONY,73032279917
10849,WOJCIECH,CHRUSZCZEWSKI,23.07.1957 00:00:00,937584542,611834570,NIEUPRAWNIONY,66092166883
10850,JAKUB,MILLER,08.11.1962 00:00:00,541164987,615653507,UPRAWNIONY,85070884285
10851,ŁUCJA,GALOCH,26.11.1975 00:00:00,863980801,755024675,NIEUPRAWNIONY,83090750630
10852,BARTOSZ,BRANDENBURGER,18.04.1969 00:00:00,272259365,1937610494,NIEUPRAWNIONY,75083134540
10853,MARTA,SZWEDEK,24.08.1974 00:00:00,268790321,1766955240,UPRAWNIONY,82071592684
10854,WERONIKA,CZECH,28.10.1956 00:00:00,315993867,307373392,NIEUPRAWNIONY,65030157711
10855,ROZALIA,SŁOWAK,03.12.1960 00:00:00,855196321,2121387753,NIEUPRAWNIONY,62121962057
10856,MARTYNA,ARAB,28.02.1960 00:00:00,492025404,2104968881,UPRAWNIONY,77011600714
10857,TYMON,WOŹNIAK,17.03.1962 00:00:00,706073832,1845733035,NIEUPRAWNIONY,75021561308
10858,ALEKSANDER,POLESZAK,16.10.1955 00:00:00,378338019,141537187,NIEUPRAWNIONY,56100764527
10859,OLIWIA,CYGAN,13.07.1969 00:00:00,986706183,1044310323,NIEUPRAWNIONY,58121190054
10860,JAKUB,MADZIARA,07.10.1987 00:00:00,592744588,1127459138,UPRAWNIONY,67052716920
10861,ŁUCJA,WESOŁOWSKI,12.03.1967 00:00:00,396411498,1150263285,UPRAWNIONY,62112860420
10862,MATEUSZ,WOŹNIAK,03.12.1962 00:00:00,308252398,89674493,UPRAWNIONY,75122549629
10863,PAWEL,LAMPARSKA,04.03.1978 00:00:00,771822176,1289104622,NIEUPRAWNIONY,82111186659
10864,TOMASZ,SŁOWACKI,18.06.1982 00:00:00,625398568,1493108129,NIEUPRAWNIONY,86100732041
10865,MACIEJ,WOŁOSZEK,10.08.1987 00:00:00,815539747,1024426499,NIEUPRAWNIONY,84051568222
10866,PRZEMYSLAW,CZESKI,23.07.1982 00:00:00,565621384,2134763508,UPRAWNIONY,74062055775
10867,KAROLINA,OLĘDER,22.11.1988 00:00:00,898741586,1420969929,NIEUPRAWNIONY,65080880276
10868,KAROLINA,BORKOWSKI,31.07.1968 00:00:00,929070123,942689452,UPRAWNIONY,78092454445
10869,KRZYSZTOF,KURUC,28.05.1979 00:00:00,503942276,708606631,UPRAWNIONY,89122025455
10870,PATRYCJA,KRUPA,05.07.1969 00:00:00,963025089,1356841718,UPRAWNIONY,70042818370
10871,WOJCIECH,WIŚNIEWSKI,14.02.1972 00:00:00,834966579,1132134311,NIEUPRAWNIONY,55011528431
10872,MATEUSZ,LITWIN,08.08.1974 00:00:00,182513940,114351969,UPRAWNIONY,90101028067
10873,MICHAŁ,KŁOSSOWSKI,05.04.1983 00:00:00,780167616,1352788467,UPRAWNIONY,67103064281
10874,DOROTA,ARABIK,23.11.1990 00:00:00,526777130,2114458635,UPRAWNIONY,57081141791
10875,BARBARA,RYBICKI,23.07.1957 00:00:00,119331553,1897085085,UPRAWNIONY,74110159311
10876,DAMIAN,KALINOWSKI,18.04.1972 00:00:00,232080266,1540344188,NIEUPRAWNIONY,89083060740
10877,IZABELA,BIAŁORUSKI,23.04.1976 00:00:00,489269057,722509103,NIEUPRAWNIONY,78082736540
10878,PATRYCJA,CICHOCKI,24.03.1976 00:00:00,484355337,507172077,NIEUPRAWNIONY,74051666294
10879,ALEKANDRA,LAMPARSKI,03.03.1985 00:00:00,610001977,1462903775,UPRAWNIONY,56061077626
10880,JADWIGA,LITWIN,21.02.1987 00:00:00,787847913,2064902520,UPRAWNIONY,87101545510
10881,AGATA,CIEŚLAK,09.06.1967 00:00:00,727266345,1753033339,NIEUPRAWNIONY,57082766009
10882,DOMINIK,SŁOWIAK,27.06.1966 00:00:00,140899883,665383287,UPRAWNIONY,62040426273
10883,ALICJA,AUSTRIJAK,22.11.1970 00:00:00,480555288,1329398851,UPRAWNIONY,90102573530
10884,MARIUSZ,GÓRSKI,16.03.1966 00:00:00,924517402,1168018719,NIEUPRAWNIONY,60011763370
10885,MARTA,CYGAN,28.02.1983 00:00:00,247920409,1946520373,UPRAWNIONY,87020983336
10886,GERARD,KUMAN,13.03.1973 00:00:00,283586938,1970507187,NIEUPRAWNIONY,74061423543
10887,MATEUSZ,SŁOWAK,22.08.1980 00:00:00,469486107,639658072,NIEUPRAWNIONY,55020973000
10888,PRZEMYSLAW,HALICKI,09.06.1987 00:00:00,780365502,1852792146,NIEUPRAWNIONY,73091291431
10889,KAMILA,WĘGIERSKI,20.02.1972 00:00:00,846939102,5549174,NIEUPRAWNIONY,56010883568
10890,ALICJA,ARABOWICZ,18.02.1982 00:00:00,218259346,552509220,UPRAWNIONY,62102315010
10891,JAROSŁAW,PASTERNAK,22.08.1980 00:00:00,758285649,1021038825,NIEUPRAWNIONY,65121243054
10892,JACEK,KASZUB,07.08.1965 00:00:00,241545225,1018929268,NIEUPRAWNIONY,87040972367
10893,MARTA,KURUC,29.05.1982 00:00:00,456649733,665617569,NIEUPRAWNIONY,70103112844
10894,BRAJAN,SKIBA,22.04.1989 00:00:00,174149455,1660967078,UPRAWNIONY,79121525626
10895,LECH,KRAJEWSKI,23.09.1976 00:00:00,986137190,218974364,NIEUPRAWNIONY,58080959592
10896,BARTOSZ,KOWALSKI,26.07.1972 00:00:00,526464895,161087435,UPRAWNIONY,77112609556
10897,TYTUS,WOŹNIAK,28.08.1966 00:00:00,139342901,1538481626,UPRAWNIONY,88080181364
10898,JANUSZ,CIEŚLAK,07.09.1983 00:00:00,278117602,1483234161,UPRAWNIONY,80110880548
10899,ALICJA,RUSIN,27.10.1974 00:00:00,104495969,96045842,UPRAWNIONY,80030926388
10900,BARBARA,ŻMIJEWSKA,16.01.1981 00:00:00,575967482,655277979,NIEUPRAWNIONY,57051898304
10901,TYTUS,KIJOWSKI,06.01.1961 00:00:00,467319376,644869187,UPRAWNIONY,74120220620
10902,PRZEMYSLAW,KURLANDT,11.10.1969 00:00:00,443057507,170438122,NIEUPRAWNIONY,65030421690
10903,BARBARA,LEWANDOWSKI,22.04.1964 00:00:00,433130196,340734934,NIEUPRAWNIONY,70041036910
10904,OLIWIER,MORAWSKI,30.09.1968 00:00:00,599976706,1761888272,UPRAWNIONY,87081587775
10905,LECH,CZARNECKI,15.08.1984 00:00:00,869561356,1647960953,UPRAWNIONY,71082565118
10906,MARTA,MALINOWSKI,26.05.1980 00:00:00,701225802,332454941,UPRAWNIONY,63032724071
10907,DANUTA,ŻUREK,22.06.1962 00:00:00,773109434,743227099,UPRAWNIONY,77060988350
10908,JAROSŁAW,POTOK,14.05.1961 00:00:00,134908804,373686644,UPRAWNIONY,82030926058
10909,JAROSŁAW,MAJEWSKI,20.12.1970 00:00:00,550313497,925390949,NIEUPRAWNIONY,78111872169
10910,PATRYCJA,WYRZYKOWSKI,04.03.1955 00:00:00,780538079,2029543998,UPRAWNIONY,79121244503
10911,DOMINIK,KRUPA,10.05.1987 00:00:00,347811555,2083356893,UPRAWNIONY,78012615374
10912,JAKUB,KWIATKOWSKI,26.07.1986 00:00:00,525605323,1735128158,NIEUPRAWNIONY,88051480105
10913,PIOTR,MAZUR,24.03.1987 00:00:00,172706806,1674655157,UPRAWNIONY,79082475998
10914,WALDEMAR,WŁOCH,10.05.1956 00:00:00,844029463,977809251,UPRAWNIONY,80062512067
10915,JAKUB,WĘGRZYN,01.01.1970 00:00:00,749818837,1982155449,UPRAWNIONY,76010685406
10916,JOLANTA,GALICKI,20.08.1978 00:00:00,197714598,605309006,NIEUPRAWNIONY,85020538719
10917,JACEK,PRZYBYSZ,25.02.1956 00:00:00,424804337,716002352,UPRAWNIONY,63112343297
10918,KAROL,KACZMAREK,02.06.1961 00:00:00,532424454,161780083,UPRAWNIONY,85112034496
10919,DAMIAN,WOŁYNIAK,24.07.1967 00:00:00,869352299,1629568551,NIEUPRAWNIONY,90030155691
10920,BARTOSZ,POLESIAK,04.11.1970 00:00:00,931865785,221998889,UPRAWNIONY,75010144084
10921,PATRYK,CHORWAT,06.06.1963 00:00:00,164557217,97928599,UPRAWNIONY,73110943942
10922,LEONARD,SZWEDA,19.03.1988 00:00:00,997996975,1000862540,NIEUPRAWNIONY,74090569208
10923,KRZYSZTOF,GREC,30.07.1960 00:00:00,566736731,295048570,NIEUPRAWNIONY,85061984433
10924,JANUSZ,DOBRUCKI,26.04.1988 00:00:00,357404015,57629461,NIEUPRAWNIONY,72101161809
10925,OLIWIA,SZWAJCARSKI,01.08.1987 00:00:00,415953205,2131807415,UPRAWNIONY,86070398699
